HololiveTest1_7200_180192.wav|Oh, wouldn't it be ironicif IRyS sabotages the tree?|Oh, wouldn't it be ironicif IRyS sabotages the tree?
HololiveTest1_180192_253872.wav|Wake up, IRyS!|Wake up, IRyS!
HololiveTest1_253872_335568.wav|Time to ruin Christmas!|Time to ruin Christmas!
HololiveTest1_335568_425232.wav|Let's gooo!|Let's gooo!
HololiveTest1_425232_537360.wav|How, how is that sabotaged?|How, how is that sabotaged?
HololiveTest1_537360_636624.wav|I guess it looks, like, kinda messy.|I guess it looks, like, kinda messy.
HololiveTest1_636624_897695.wav|Yeah, IRyS shall light the tree.|Yeah, IRyS shall light the tree.
HololiveTest1_897695_944160.wav|Aargh!|Aargh!
HololiveTest1_944160_1025856.wav|Nooo! Not like that!|Nooo! Not like that!
HololiveTest1_1025856_1078704.wav|Not like|Not like
HololiveTest1_1078704_1139568.wav|What what what?|What what what?
HololiveTest1_1139568_1187616.wav|I I thought|I I thought
HololiveTest1_1187616_1261248.wav|What?!|What?!
HololiveTest1_1261248_1411824.wav|IRyS, what do you have to say?!|IRyS, what do you have to say?!
HololiveTest1_1411824_1463088.wav|Nooo!|Nooo!
HololiveTest1_1463088_1552704.wav|Wait, did I misunderstand?|Wait, did I misunderstand?
HololiveTest1_1552704_1579967.wav|Or|Or
HololiveTest1_1579967_1640831.wav|Eh?|Eh?
HololiveTest1_1640831_1784976.wav|Nooo! Nooooo!|Nooo! Nooooo!
HololiveTest1_1784976_1879488.wav|IRyS, what the f*ck?!|IRyS, what the f*ck?!
HololiveTest1_1879488_2121312.wav|IRyS!|IRyS!
HololiveTest1_2121312_2159760.wav|What the f*ck?!|What the f*ck?!
HololiveTest1_2159760_2263872.wav|You ruined Christmas!|You ruined Christmas!
HololiveTest1_2263872_2584176.wav|It's not time!|It's not time!
HololiveTest1_2584176_2603424.wav|What the?|What the?
HololiveTest1_2603424_2646672.wav|Well, so what're we gonna do?|Well, so what're we gonna do?
HololiveTest1_2646672_2822832.wav|We're just gonna let it happen?|We're just gonna let it happen?
HololiveTest1_2822832_2936544.wav|It's gone, it's gone, its f*cking|It's gone, it's gone, its f*cking
HololiveTest1_2936544_3056640.wav|Am I the only one misunderstanding?|Am I the only one misunderstanding?
HololiveTest1_3056640_3096720.wav|I'm not sure|I'm not sure
HololiveTest1_3096720_3131904.wav|Does this ac|Does this ac
HololiveTest1_3131904_3269663.wav|Does this happen becausewe sabotaged the tree?|Does this happen becausewe sabotaged the tree?
